Ano,Unidade Geográfica,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2013,BRASIL,Total,Total,91.2,7.3,1.5
2013,BRASIL,Total,Publico,90.1,8.2,1.7
2013,BRASIL,Total,Privada,97.8,2.0,0.2
2013,BRASIL,Total,Municipal,89.4,8.7,1.9
2013,BRASIL,Total,Federal,95.6,4.1,0.3
2013,BRASIL,Total,Estadual,92.6,6.2,1.2
2013,BRASIL,Rural,Total,85.6,11.5,2.9
2013,BRASIL,Rural,Publico,85.5,11.6,2.9
2013,BRASIL,Rural,Privada,95.8,3.6,0.6
2013,BRASIL,Rural,Municipal,85.3,11.8,2.9
2013,BRASIL,Rural,Federal,91.7,8.3,0.0
2013,BRASIL,Rural,Estadual,88.1,9.4,2.5
2013,BRASIL,Urbana,Total,92.5,6.4,1.1
2013,BRASIL,Urbana,Publico,91.3,7.3,1.4
2013,BRASIL,Urbana,Privada,97.9,2.0,0.1
2013,BRASIL,Urbana,Municipal,90.7,7.8,1.5
2013,BRASIL,Urbana,Federal,95.7,4.1,0.2
2013,BRASIL,Urbana,Estadual,92.9,5.9,1.2
2013,NORTE, Total,Total,85.4,11.5,3.1
2013,NORTE, Total,Publico,84.4,12.2,3.4
2013,NORTE, Total,Privada,98.1,1.7,0.2
2013,NORTE, Total,Municipal,83.6,12.8,3.6
2013,NORTE, Total,Federal,91.6,8.4,0.0
2013,NORTE, Total,Estadual,87.1,10.5,2.4
2013,NORTE, Rural,Total,79.0,15.6,5.4
2013,NORTE, Rural,Publico,79.0,15.6,5.4
2013,NORTE, Rural,Privada,88.8,8.8,2.4
2013,NORTE, Rural,Municipal,78.7,15.8,5.5
2013,NORTE, Rural,Federal,0.0,0.0,0.0
2013,NORTE, Rural,Estadual,81.5,14.1,4.4
2013,NORTE, Urbana,Total,88.3,9.6,2.1
2013,NORTE, Urbana,Publico,87.3,10.4,2.3
2013,NORTE, Urbana,Privada,98.2,1.7,0.1
2013,NORTE, Urbana,Municipal,86.9,10.7,2.4
2013,NORTE, Urbana,Federal,91.6,8.4,0.0
2013,NORTE, Urbana,Estadual,88.0,10.0,2.0
2013,NORDESTE, Total,Total,86.7,10.8,2.5
2013,NORDESTE, Total,Publico,84.8,12.3,2.9
2013,NORDESTE, Total,Privada,97.2,2.5,0.3
2013,NORDESTE, Total,Municipal,84.9,12.3,2.8
2013,NORDESTE, Total,Federal,96.1,3.9,0.0
2013,NORDESTE, Total,Estadual,83.9,12.3,3.8
2013,NORDESTE, Rural,Total,84.5,12.7,2.8
2013,NORDESTE, Rural,Publico,84.4,12.8,2.8
2013,NORDESTE, Rural,Privada,95.6,3.9,0.5
2013,NORDESTE, Rural,Municipal,84.5,12.7,2.8
2013,NORDESTE, Rural,Federal,91.7,8.3,0.0
2013,NORDESTE, Rural,Estadual,81.0,14.3,4.7
2013,NORDESTE, Urbana,Total,87.7,9.9,2.4
2013,NORDESTE, Urbana,Publico,85.0,12.0,3.0
2013,NORDESTE, Urbana,Privada,97.2,2.5,0.3
2013,NORDESTE, Urbana,Municipal,85.1,12.0,2.9
2013,NORDESTE, Urbana,Federal,96.9,3.1,0.0
2013,NORDESTE, Urbana,Estadual,84.3,12.1,3.6
2013,SUDESTE, Total,Total,95.4,4.1,0.5
2013,SUDESTE, Total,Publico,94.8,4.6,0.6
2013,SUDESTE, Total,Privada,98.0,2.0,0.0
2013,SUDESTE, Total,Municipal,94.1,5.3,0.6
2013,SUDESTE, Total,Federal,96.5,3.1,0.4
2013,SUDESTE, Total,Estadual,96.8,2.6,0.6
2013,SUDESTE, Rural,Total,94.6,4.8,0.6
2013,SUDESTE, Rural,Publico,94.6,4.8,0.6
2013,SUDESTE, Rural,Privada,97.3,2.7,0.0
2013,SUDESTE, Rural,Municipal,94.3,5.1,0.6
2013,SUDESTE, Rural,Federal,0.0,0.0,0.0
2013,SUDESTE, Rural,Estadual,96.8,2.6,0.6
2013,SUDESTE, Urbana,Total,95.5,4.0,0.5
2013,SUDESTE, Urbana,Publico,94.8,4.6,0.6
2013,SUDESTE, Urbana,Privada,98.0,2.0,0.0
2013,SUDESTE, Urbana,Municipal,94.1,5.3,0.6
2013,SUDESTE, Urbana,Federal,96.5,3.1,0.4
2013,SUDESTE, Urbana,Estadual,96.8,2.6,0.6
2013,SUL, Total,Total,94.0,5.6,0.4
2013,SUL, Total,Publico,93.5,6.1,0.4
2013,SUL, Total,Privada,98.4,1.5,0.1
2013,SUL, Total,Municipal,94.3,5.2,0.5
2013,SUL, Total,Federal,100.0,0.0,0.0
2013,SUL, Total,Estadual,91.0,8.4,0.6
2013,SUL, Rural,Total,94.0,5.5,0.5
2013,SUL, Rural,Publico,94.0,5.5,0.5
2013,SUL, Rural,Privada,97.7,0.0,2.3
2013,SUL, Rural,Municipal,94.6,5.1,0.3
2013,SUL, Rural,Federal,0.0,0.0,0.0
2013,SUL, Rural,Estadual,91.5,7.4,1.1
2013,SUL, Urbana,Total,94.0,5.6,0.4
2013,SUL, Urbana,Publico,93.4,6.1,0.5
2013,SUL, Urbana,Privada,98.4,1.5,0.1
2013,SUL, Urbana,Municipal,94.3,5.3,0.4
2013,SUL, Urbana,Federal,100.0,0.0,0.0
2013,SUL, Urbana,Estadual,90.9,8.5,0.6
2013,CENTRO-OESTE, Total,Total,95.3,4.0,0.7
2013,CENTRO-OESTE, Total,Publico,94.7,4.5,0.8
2013,CENTRO-OESTE, Total,Privada,98.8,1.2,0.0
2013,CENTRO-OESTE, Total,Municipal,94.5,4.6,0.9
2013,CENTRO-OESTE, Total,Federal,93.4,6.6,0.0
2013,CENTRO-OESTE, Total,Estadual,95.1,4.3,0.6
2013,CENTRO-OESTE, Rural,Total,92.8,5.6,1.6
2013,CENTRO-OESTE, Rural,Publico,92.7,5.6,1.7
2013,CENTRO-OESTE, Rural,Privada,97.5,2.5,0.0
2013,CENTRO-OESTE, Rural,Municipal,92.0,5.9,2.1
2013,CENTRO-OESTE, Rural,Federal,0.0,0.0,0.0
2013,CENTRO-OESTE, Rural,Estadual,94.8,4.7,0.5
2013,CENTRO-OESTE, Urbana,Total,95.6,3.8,0.6
2013,CENTRO-OESTE, Urbana,Publico,94.9,4.4,0.7
2013,CENTRO-OESTE, Urbana,Privada,98.8,1.1,0.1
2013,CENTRO-OESTE, Urbana,Municipal,94.8,4.4,0.8
2013,CENTRO-OESTE, Urbana,Federal,93.4,6.6,0.0
2013,CENTRO-OESTE, Urbana,Estadual,95.2,4.3,0.5
