Ano,Unidade Geográfica,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2011,BRASIL,Total,Total,90.5,7.8,1.7
2011,BRASIL,Total,Publico,89.5,8.6,1.9
2011,BRASIL,Total,Particular,97.7,2.2,0.1
2011,BRASIL,Total,Municipal,88.8,9.1,2.1
2011,BRASIL,Total,Federal,94.5,5.1,0.4
2011,BRASIL,Total,Estadual,91.6,6.9,1.5
2011,BRASIL,Rural,Total,85.4,11.2,3.4
2011,BRASIL,Rural,Publico,85.3,11.3,3.4
2011,BRASIL,Rural,Particular,94.6,4.8,0.6
2011,BRASIL,Rural,Municipal,85.2,11.4,3.4
2011,BRASIL,Rural,Federal,90.0,10.0,0.0
2011,BRASIL,Rural,Estadual,87.2,9.3,3.5
2011,BRASIL,Urbana,Total,91.6,7.0,1.4
2011,BRASIL,Urbana,Publico,90.6,7.9,1.5
2011,BRASIL,Urbana,Particular,97.7,2.2,0.1
2011,BRASIL,Urbana,Municipal,90.0,8.3,1.7
2011,BRASIL,Urbana,Federal,94.5,5.1,0.4
2011,BRASIL,Urbana,Estadual,91.9,6.7,1.4
2011,NORTE,Total,Total,86.9,9.6,3.5
2011,NORTE,Total,Publico,86.1,10.1,3.8
2011,NORTE,Total,Particular,97.9,2.0,0.1
2011,NORTE,Total,Municipal,85.2,10.6,4.2
2011,NORTE,Total,Federal,94.1,5.9,0.0
2011,NORTE,Total,Estadual,88.6,8.8,2.6
2011,NORTE,Rural,Total,81.3,12.7,6.0
2011,NORTE,Rural,Publico,81.3,12.7,6.0
2011,NORTE,Rural,Particular,89.1,10.3,0.6
2011,NORTE,Rural,Municipal,81.2,12.6,6.2
2011,NORTE,Rural,Federal,0.0,0.0,0.0
2011,NORTE,Rural,Estadual,81.5,12.9,5.6
2011,NORTE,Urbana,Total,89.5,8.2,2.3
2011,NORTE,Urbana,Publico,88.6,8.8,2.6
2011,NORTE,Urbana,Particular,98.0,1.9,0.1
2011,NORTE,Urbana,Municipal,88.0,9.2,2.8
2011,NORTE,Urbana,Federal,94.1,5.9,0.0
2011,NORTE,Urbana,Estadual,89.7,8.1,2.2
2011,NORDESTE,Total,Total,85.5,11.4,3.1
2011,NORDESTE,Total,Publico,83.8,12.8,3.4
2011,NORDESTE,Total,Particular,97.0,2.8,0.2
2011,NORDESTE,Total,Municipal,84.1,12.6,3.3
2011,NORDESTE,Total,Federal,95.7,4.3,0.0
2011,NORDESTE,Total,Estadual,81.6,14.0,4.4
2011,NORDESTE,Rural,Total,83.7,12.8,3.5
2011,NORDESTE,Rural,Publico,83.6,12.9,3.5
2011,NORDESTE,Rural,Particular,94.3,5.1,0.6
2011,NORDESTE,Rural,Municipal,83.8,12.8,3.4
2011,NORDESTE,Rural,Federal,90.0,10.0,0.0
2011,NORDESTE,Rural,Estadual,79.1,14.9,6.0
2011,NORDESTE,Urbana,Total,86.4,10.8,2.8
2011,NORDESTE,Urbana,Publico,83.9,12.7,3.4
2011,NORDESTE,Urbana,Particular,97.0,2.8,0.2
2011,NORDESTE,Urbana,Municipal,84.2,12.5,3.3
2011,NORDESTE,Urbana,Federal,96.6,3.4,0.0
2011,NORDESTE,Urbana,Estadual,81.8,13.9,4.3
2011,SUDESTE,Total,Total,94.0,5.4,0.6
2011,SUDESTE,Total,Publico,93.4,5.9,0.7
2011,SUDESTE,Total,Particular,97.9,2.0,0.1
2011,SUDESTE,Total,Municipal,92.8,6.5,0.7
2011,SUDESTE,Total,Federal,94.3,5.3,0.4
2011,SUDESTE,Total,Estadual,94.8,4.6,0.6
2011,SUDESTE,Rural,Total,93.2,6.0,0.8
2011,SUDESTE,Rural,Publico,93.1,6.1,0.8
2011,SUDESTE,Rural,Particular,97.7,2.1,0.2
2011,SUDESTE,Rural,Municipal,92.9,6.3,0.8
2011,SUDESTE,Rural,Federal,0.0,0.0,0.0
2011,SUDESTE,Rural,Estadual,94.8,4.4,0.8
2011,SUDESTE,Urbana,Total,94.1,5.3,0.6
2011,SUDESTE,Urbana,Publico,93.4,5.9,0.7
2011,SUDESTE,Urbana,Particular,97.9,2.0,0.1
2011,SUDESTE,Urbana,Municipal,92.8,6.5,0.7
2011,SUDESTE,Urbana,Federal,94.3,5.3,0.4
2011,SUDESTE,Urbana,Estadual,94.8,4.6,0.6
2011,SUL,Total,Total,93.9,5.5,0.6
2011,SUL,Total,Publico,93.5,5.9,0.6
2011,SUL,Total,Particular,98.1,1.8,0.1
2011,SUL,Total,Municipal,93.8,5.7,0.5
2011,SUL,Total,Federal,97.2,1.4,1.4
2011,SUL,Total,Estadual,92.8,6.3,0.9
2011,SUL,Rural,Total,93.7,5.7,0.6
2011,SUL,Rural,Publico,93.7,5.7,0.6
2011,SUL,Rural,Particular,92.0,6.9,1.1
2011,SUL,Rural,Municipal,93.8,5.7,0.5
2011,SUL,Rural,Federal,0.0,0.0,0.0
2011,SUL,Rural,Estadual,93.0,5.4,1.6
2011,SUL,Urbana,Total,93.9,5.5,0.6
2011,SUL,Urbana,Publico,93.5,5.9,0.6
2011,SUL,Urbana,Particular,98.2,1.8,0.0
2011,SUL,Urbana,Municipal,93.8,5.7,0.5
2011,SUL,Urbana,Federal,97.2,1.4,1.4
2011,SUL,Urbana,Estadual,92.8,6.4,0.8
2011,CENTRO-OESTE,Total,Total,93.7,5.2,1.1
2011,CENTRO-OESTE,Total,Publico,92.9,5.9,1.2
2011,CENTRO-OESTE,Total,Particular,98.5,1.4,0.1
2011,CENTRO-OESTE,Total,Municipal,92.9,5.7,1.4
2011,CENTRO-OESTE,Total,Federal,94.9,5.1,0.0
2011,CENTRO-OESTE,Total,Estadual,93.0,6.1,0.9
2011,CENTRO-OESTE,Rural,Total,90.6,7.1,2.3
2011,CENTRO-OESTE,Rural,Publico,90.6,7.1,2.3
2011,CENTRO-OESTE,Rural,Particular,92.9,6.0,1.1
