Ano,Unidade Geográfica,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2015,Brasil,Total,Total,92.1,6.7,1.2
2015,Brasil,Total,Pública,91.0,7.6,1.4
2015,Brasil,Total,Federal,96.4,3.6,0.0
2015,Brasil,Total,Estadual,93.6,5.5,0.9
2015,Brasil,Total,Municipal,90.3,8.1,1.6
2015,Brasil,Total,Particular,98.1,1.8,0.1
2015,Brasil,Urbana,Total,93.4,5.6,1.0
2015,Brasil,Urbana,Pública,92.4,6.5,1.1
2015,Brasil,Urbana,Federal,96.4,3.5,0.1
2015,Brasil,Urbana,Estadual,94.0,5.2,0.8
2015,Brasil,Urbana,Municipal,91.9,6.9,1.2
2015,Brasil,Urbana,Particular,98.1,1.8,0.1
2015,Brasil,Rural,Total,85.4,12.0,2.6
2015,Brasil,Rural,Pública,85.3,12.0,2.7
2015,Brasil,Rural,Federal,90.9,9.1,0.0
2015,Brasil,Rural,Estadual,87.3,9.9,2.8
2015,Brasil,Rural,Municipal,85.2,12.2,2.6
2015,Brasil,Rural,Particular,95.7,3.7,0.6
2015,Norte,Total,Total,85.6,11.7,2.7
2015,Norte,Total,Pública,84.6,12.4,3.0
2015,Norte,Total,Federal,97.3,2.7,0.0
2015,Norte,Total,Estadual,88.3,9.4,2.3
2015,Norte,Total,Municipal,83.5,13.3,3.2
2015,Norte,Total,Particular,98.1,1.8,0.1
2015,Norte,Urbana,Total,89.3,8.9,1.8
2015,Norte,Urbana,Pública,88.3,9.7,2.0
2015,Norte,Urbana,Federal,97.3,2.7,0.0
2015,Norte,Urbana,Estadual,89.4,8.8,1.8
2015,Norte,Urbana,Municipal,87.8,10.2,2.0
2015,Norte,Urbana,Particular,98.2,1.7,0.1
2015,Norte,Rural,Total,77.6,17.5,4.9
2015,Norte,Rural,Pública,77.6,17.5,4.9
2015,Norte,Rural,Federal,0.0,0.0,0.0
2015,Norte,Rural,Estadual,81.9,13.1,5.0
2015,Norte,Rural,Municipal,77.1,18.0,4.9
